symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,0001130310,1882,19222853632,2022-05-04,30.54,30.91766830870279,0.012366349335389366,0.000491467755405748
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021-09-20,0001725057,1992,8692092928,2022-05-04,57.16,59.66384142076043,0.04380408363821607,0.0002222294089567948
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,0000804753,1979,27674146816,2022-05-04,94.14,96.0633994958734,0.020431267217690646,0.0007075406741789548
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0001324404,1946,21049415680,2022-05-04,100.66,108.51316378185503,0.07801672741759419,0.0005381671876037598
CRL,Charles River,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,0001100682,1947,12760201216,2022-05-04,251.19,255.88059795819154,0.018673505944470505,0.00032623811064729733
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,0000316709,1971,131647537152,2022-05-04,69.46,113.52927921623512,0.6344555026811853,0.0033658124244925983
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0001091667,1993,81503248384,2022-05-04,425.62,428.49184343252443,0.006747435347315514,0.002083781071655285
CVX,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,0000093410,1879,319270125568,2022-05-04,162.49,165.4243180988116,0.01805845343597506,0.008162730413751313
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,0001058090,1993,40507961344,2022-05-04,1447.54,1476.2341863738739,0.019822724328083432,0.0010356608451024848
CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0000896159,1985,87953932288,2022-05-04,207.58,211.23902073224525,0.01762703888739396,0.0022487047193000503
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,0000313927,1847,23223476224,2022-05-04,95.66,96.6239423076923,0.0100767542096206,0.0005937510606400292
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,0001739940,1982,78731444224,2022-05-04,247.29,262.32423461809316,0.060795966751963956,0.0020129147791152534
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,0000020286,1950,19600832512,2022-05-04,122.17,129.16201964395336,0.057231887075004956,0.0005011314835545771
